window_index,deviation_score,smoothed_score,status,consecutive_exceedances,recommended_action,run,rul_label
56,0.6171,0.7236,NORMAL,0,Continue operation and monitoring,dev_run_0,2747.0
57,0.4062,0.6601,NORMAL,0,Continue operation and monitoring,dev_run_0,2746.0
58,0.5873,0.6455,NORMAL,0,Continue operation and monitoring,dev_run_0,2745.0
59,0.6326,0.6429,NORMAL,0,Continue operation and monitoring,dev_run_0,2744.0
60,0.3575,0.5858,NORMAL,0,Continue operation and monitoring,dev_run_0,2743.0
61,0.4978,0.5682,NORMAL,0,Continue operation and monitoring,dev_run_0,2742.0
62,0.688,0.5922,NORMAL,0,Continue operation and monitoring,dev_run_0,2741.0
63,0.393,0.5523,NORMAL,0,Continue operation and monitoring,dev_run_0,2740.0
64,0.7843,0.5987,NORMAL,0,Continue operation and monitoring,dev_run_0,2739.0
65,0.4839,0.5758,NORMAL,0,Continue operation and monitoring,dev_run_0,2738.0
66,0.6457,0.5897,NORMAL,0,Continue operation and monitoring,dev_run_0,2737.0
67,0.9577,0.6633,NORMAL,0,Continue operation and monitoring,dev_run_0,2736.0
68,0.4009,0.6109,NORMAL,0,Continue operation and monitoring,dev_run_0,2735.0
69,0.5456,0.5978,NORMAL,0,Continue operation and monitoring,dev_run_0,2734.0
70,0.7064,0.6195,NORMAL,0,Continue operation and monitoring,dev_run_0,2733.0
71,0.6978,0.6352,NORMAL,0,Continue operation and monitoring,dev_run_0,2732.0
72,1.1039,0.7289,NORMAL,0,Continue operation and monitoring,dev_run_0,2731.0
73,0.6162,0.7064,NORMAL,0,Continue operation and monitoring,dev_run_0,2730.0
74,0.548,0.6747,NORMAL,0,Continue operation and monitoring,dev_run_0,2729.0
75,0.5041,0.6406,NORMAL,0,Continue operation and monitoring,dev_run_0,2728.0
76,0.5582,0.6241,NORMAL,0,Continue operation and monitoring,dev_run_0,2727.0
77,1.0487,0.709,NORMAL,0,Continue operation and monitoring,dev_run_0,2726.0
78,1.5587,0.879,NORMAL,0,Continue operation and monitoring,dev_run_0,2725.0
79,0.5108,0.8053,NORMAL,0,Continue operation and monitoring,dev_run_0,2724.0
80,0.4433,0.7329,NORMAL,0,Continue operation and monitoring,dev_run_0,2723.0
81,0.7818,0.7427,NORMAL,0,Continue operation and monitoring,dev_run_0,2722.0
82,1.3431,0.8628,NORMAL,0,Continue operation and monitoring,dev_run_0,2721.0
83,0.8815,0.8665,NORMAL,0,Continue operation and monitoring,dev_run_0,2720.0
84,0.834,0.86,NORMAL,0,Continue operation and monitoring,dev_run_0,2719.0
85,1.2725,0.9425,NORMAL,0,Continue operation and monitoring,dev_run_0,2718.0
86,0.8622,0.9265,NORMAL,0,Continue operation and monitoring,dev_run_0,2717.0
87,0.8459,0.9104,NORMAL,0,Continue operation and monitoring,dev_run_0,2716.0
88,0.526,0.8335,NORMAL,0,Continue operation and monitoring,dev_run_0,2715.0
89,0.4899,0.7648,NORMAL,0,Continue operation and monitoring,dev_run_0,2714.0
90,0.6284,0.7375,NORMAL,0,Continue operation and monitoring,dev_run_0,2713.0
91,0.6499,0.72,NORMAL,0,Continue operation and monitoring,dev_run_0,2712.0
92,0.5522,0.6864,NORMAL,0,Continue operation and monitoring,dev_run_0,2711.0
93,0.5231,0.6538,NORMAL,0,Continue operation and monitoring,dev_run_0,2710.0
94,0.6875,0.6605,NORMAL,0,Continue operation and monitoring,dev_run_0,2709.0
95,0.6413,0.6567,NORMAL,0,Continue operation and monitoring,dev_run_0,2708.0
96,0.5269,0.6307,NORMAL,0,Continue operation and monitoring,dev_run_0,2707.0
97,0.8753,0.6796,NORMAL,0,Continue operation and monitoring,dev_run_0,2706.0
98,0.5487,0.6534,NORMAL,0,Continue operation and monitoring,dev_run_0,2705.0
99,1.032,0.7291,NORMAL,0,Continue operation and monitoring,dev_run_0,2704.0
100,0.5608,0.6955,NORMAL,0,Continue operation and monitoring,dev_run_0,2703.0
101,0.5592,0.6682,NORMAL,0,Continue operation and monitoring,dev_run_0,2702.0
102,0.531,0.6408,NORMAL,0,Continue operation and monitoring,dev_run_0,2701.0
103,0.7573,0.6641,NORMAL,0,Continue operation and monitoring,dev_run_0,2700.0
104,0.4337,0.618,NORMAL,0,Continue operation and monitoring,dev_run_0,2699.0
105,0.5797,0.6104,NORMAL,0,Continue operation and monitoring,dev_run_0,2698.0
106,1.1086,0.71,NORMAL,0,Continue operation and monitoring,dev_run_0,2697.0
107,0.5484,0.6777,NORMAL,0,Continue operation and monitoring,dev_run_0,2696.0
108,0.8311,0.7083,NORMAL,0,Continue operation and monitoring,dev_run_0,2695.0
109,0.605,0.6877,NORMAL,0,Continue operation and monitoring,dev_run_0,2694.0
110,0.6003,0.6702,NORMAL,0,Continue operation and monitoring,dev_run_0,2693.0
111,0.7991,0.696,NORMAL,0,Continue operation and monitoring,dev_run_0,2692.0
112,0.6905,0.6949,NORMAL,0,Continue operation and monitoring,dev_run_0,2691.0
113,0.7535,0.7066,NORMAL,0,Continue operation and monitoring,dev_run_0,2690.0
114,0.531,0.6715,NORMAL,0,Continue operation and monitoring,dev_run_0,2689.0
115,0.4902,0.6352,NORMAL,0,Continue operation and monitoring,dev_run_0,2688.0
116,0.548,0.6178,NORMAL,0,Continue operation and monitoring,dev_run_0,2687.0
117,0.6409,0.6224,NORMAL,0,Continue operation and monitoring,dev_run_0,2686.0
118,1.5308,0.8041,NORMAL,0,Continue operation and monitoring,dev_run_0,2685.0
119,0.5244,0.7481,NORMAL,0,Continue operation and monitoring,dev_run_0,2684.0
120,0.5131,0.7011,NORMAL,0,Continue operation and monitoring,dev_run_0,2683.0
121,1.0609,0.7731,NORMAL,0,Continue operation and monitoring,dev_run_0,2682.0
122,0.5696,0.7324,NORMAL,0,Continue operation and monitoring,dev_run_0,2681.0
123,0.7913,0.7442,NORMAL,0,Continue operation and monitoring,dev_run_0,2680.0
124,0.8932,0.774,NORMAL,0,Continue operation and monitoring,dev_run_0,2679.0
125,0.5377,0.7267,NORMAL,0,Continue operation and monitoring,dev_run_0,2678.0
126,0.6815,0.7177,NORMAL,0,Continue operation and monitoring,dev_run_0,2677.0
127,0.8666,0.7475,NORMAL,0,Continue operation and monitoring,dev_run_0,2676.0
128,0.7331,0.7446,NORMAL,0,Continue operation and monitoring,dev_run_0,2675.0
129,0.9178,0.7793,NORMAL,0,Continue operation and monitoring,dev_run_0,2674.0
130,0.4162,0.7066,NORMAL,0,Continue operation and monitoring,dev_run_0,2673.0
131,0.7156,0.7084,NORMAL,0,Continue operation and monitoring,dev_run_0,2672.0
132,0.7356,0.7139,NORMAL,0,Continue operation and monitoring,dev_run_0,2671.0
133,0.7416,0.7194,NORMAL,0,Continue operation and monitoring,dev_run_0,2670.0
134,0.5293,0.6814,NORMAL,0,Continue operation and monitoring,dev_run_0,2669.0
135,0.5625,0.6576,NORMAL,0,Continue operation and monitoring,dev_run_0,2668.0
136,0.791,0.6843,NORMAL,0,Continue operation and monitoring,dev_run_0,2667.0
137,0.5925,0.6659,NORMAL,0,Continue operation and monitoring,dev_run_0,2666.0
138,0.5105,0.6348,NORMAL,0,Continue operation and monitoring,dev_run_0,2665.0
139,0.7346,0.6548,NORMAL,0,Continue operation and monitoring,dev_run_0,2664.0
140,0.9556,0.715,NORMAL,0,Continue operation and monitoring,dev_run_0,2663.0
141,0.4729,0.6665,NORMAL,0,Continue operation and monitoring,dev_run_0,2662.0
142,0.799,0.693,NORMAL,0,Continue operation and monitoring,dev_run_0,2661.0
143,0.8146,0.7174,NORMAL,0,Continue operation and monitoring,dev_run_0,2660.0
144,0.5181,0.6775,NORMAL,0,Continue operation and monitoring,dev_run_0,2659.0
145,0.5775,0.6575,NORMAL,0,Continue operation and monitoring,dev_run_0,2658.0
146,0.9146,0.7089,NORMAL,0,Continue operation and monitoring,dev_run_0,2657.0
147,0.4499,0.6571,NORMAL,0,Continue operation and monitoring,dev_run_0,2656.0
148,0.4872,0.6232,NORMAL,0,Continue operation and monitoring,dev_run_0,2655.0
149,1.0841,0.7153,NORMAL,0,Continue operation and monitoring,dev_run_0,2654.0
150,0.8927,0.7508,NORMAL,0,Continue operation and monitoring,dev_run_0,2653.0
151,0.42,0.6847,NORMAL,0,Continue operation and monitoring,dev_run_0,2652.0
152,0.4767,0.6431,NORMAL,0,Continue operation and monitoring,dev_run_0,2651.0
153,0.3294,0.5803,NORMAL,0,Continue operation and monitoring,dev_run_0,2650.0
154,0.6356,0.5914,NORMAL,0,Continue operation and monitoring,dev_run_0,2649.0
155,0.7211,0.6173,NORMAL,0,Continue operation and monitoring,dev_run_0,2648.0
156,0.8761,0.6691,NORMAL,0,Continue operation and monitoring,dev_run_0,2647.0
157,0.6131,0.6579,NORMAL,0,Continue operation and monitoring,dev_run_0,2646.0
158,0.6778,0.6619,NORMAL,0,Continue operation and monitoring,dev_run_0,2645.0
159,1.9836,0.9262,NORMAL,0,Continue operation and monitoring,dev_run_0,2644.0
160,0.4309,0.8271,NORMAL,0,Continue operation and monitoring,dev_run_0,2643.0
161,0.6029,0.7823,NORMAL,0,Continue operation and monitoring,dev_run_0,2642.0
162,0.547,0.7352,NORMAL,0,Continue operation and monitoring,dev_run_0,2641.0
163,0.6564,0.7195,NORMAL,0,Continue operation and monitoring,dev_run_0,2640.0
164,0.5413,0.6838,NORMAL,0,Continue operation and monitoring,dev_run_0,2639.0
165,0.45,0.6371,NORMAL,0,Continue operation and monitoring,dev_run_0,2638.0
166,0.5121,0.6121,NORMAL,0,Continue operation and monitoring,dev_run_0,2637.0
167,0.6467,0.619,NORMAL,0,Continue operation and monitoring,dev_run_0,2636.0
168,0.4481,0.5848,NORMAL,0,Continue operation and monitoring,dev_run_0,2635.0
169,0.6915,0.6062,NORMAL,0,Continue operation and monitoring,dev_run_0,2634.0
170,0.7601,0.6369,NORMAL,0,Continue operation and monitoring,dev_run_0,2633.0
171,0.5302,0.6156,NORMAL,0,Continue operation and monitoring,dev_run_0,2632.0
172,0.841,0.6607,NORMAL,0,Continue operation and monitoring,dev_run_0,2631.0
173,0.5028,0.6291,NORMAL,0,Continue operation and monitoring,dev_run_0,2630.0
174,1.1022,0.7237,NORMAL,0,Continue operation and monitoring,dev_run_0,2629.0
175,0.3725,0.6535,NORMAL,0,Continue operation and monitoring,dev_run_0,2628.0
176,0.748,0.6724,NORMAL,0,Continue operation and monitoring,dev_run_0,2627.0
177,0.7772,0.6933,NORMAL,0,Continue operation and monitoring,dev_run_0,2626.0
178,0.8317,0.721,NORMAL,0,Continue operation and monitoring,dev_run_0,2625.0
179,0.3605,0.6489,NORMAL,0,Continue operation and monitoring,dev_run_0,2624.0
180,0.6867,0.6565,NORMAL,0,Continue operation and monitoring,dev_run_0,2623.0
181,0.5249,0.6302,NORMAL,0,Continue operation and monitoring,dev_run_0,2622.0
182,0.5138,0.6069,NORMAL,0,Continue operation and monitoring,dev_run_0,2621.0
183,0.5701,0.5995,NORMAL,0,Continue operation and monitoring,dev_run_0,2620.0
184,0.6834,0.6163,NORMAL,0,Continue operation and monitoring,dev_run_0,2619.0
185,0.6496,0.623,NORMAL,0,Continue operation and monitoring,dev_run_0,2618.0
186,0.7355,0.6455,NORMAL,0,Continue operation and monitoring,dev_run_0,2617.0
187,0.9042,0.6972,NORMAL,0,Continue operation and monitoring,dev_run_0,2616.0
188,0.9416,0.7461,NORMAL,0,Continue operation and monitoring,dev_run_0,2615.0
189,0.7049,0.7379,NORMAL,0,Continue operation and monitoring,dev_run_0,2614.0
190,1.463,0.8829,NORMAL,0,Continue operation and monitoring,dev_run_0,2613.0
191,0.6285,0.832,NORMAL,0,Continue operation and monitoring,dev_run_0,2612.0
192,1.7681,1.0192,NORMAL,0,Continue operation and monitoring,dev_run_0,2611.0
193,0.7269,0.9608,NORMAL,0,Continue operation and monitoring,dev_run_0,2610.0
194,0.9781,0.9642,NORMAL,0,Continue operation and monitoring,dev_run_0,2609.0
195,0.8195,0.9353,NORMAL,0,Continue operation and monitoring,dev_run_0,2608.0
196,0.5702,0.8623,NORMAL,0,Continue operation and monitoring,dev_run_0,2607.0
197,0.4642,0.7827,NORMAL,0,Continue operation and monitoring,dev_run_0,2606.0
198,0.4812,0.7224,NORMAL,0,Continue operation and monitoring,dev_run_0,2605.0
199,0.6989,0.7177,NORMAL,0,Continue operation and monitoring,dev_run_0,2604.0
200,0.4943,0.673,NORMAL,0,Continue operation and monitoring,dev_run_0,2603.0
201,0.5071,0.6398,NORMAL,0,Continue operation and monitoring,dev_run_0,2602.0
202,0.4915,0.6102,NORMAL,0,Continue operation and monitoring,dev_run_0,2601.0
203,1.0435,0.6968,NORMAL,0,Continue operation and monitoring,dev_run_0,2600.0
204,0.6948,0.6964,NORMAL,0,Continue operation and monitoring,dev_run_0,2599.0
205,0.6499,0.6871,NORMAL,0,Continue operation and monitoring,dev_run_0,2598.0
206,0.7939,0.7085,NORMAL,0,Continue operation and monitoring,dev_run_0,2597.0
207,0.5197,0.6707,NORMAL,0,Continue operation and monitoring,dev_run_0,2596.0
208,0.5082,0.6382,NORMAL,0,Continue operation and monitoring,dev_run_0,2595.0
209,0.7534,0.6612,NORMAL,0,Continue operation and monitoring,dev_run_0,2594.0
210,0.6045,0.6499,NORMAL,0,Continue operation and monitoring,dev_run_0,2593.0
211,0.3345,0.5868,NORMAL,0,Continue operation and monitoring,dev_run_0,2592.0
212,0.8798,0.6454,NORMAL,0,Continue operation and monitoring,dev_run_0,2591.0
213,0.4457,0.6055,NORMAL,0,Continue operation and monitoring,dev_run_0,2590.0
214,0.6134,0.6071,NORMAL,0,Continue operation and monitoring,dev_run_0,2589.0
215,0.4945,0.5845,NORMAL,0,Continue operation and monitoring,dev_run_0,2588.0
216,0.6857,0.6048,NORMAL,0,Continue operation and monitoring,dev_run_0,2587.0
217,0.5987,0.6036,NORMAL,0,Continue operation and monitoring,dev_run_0,2586.0
218,0.9806,0.679,NORMAL,0,Continue operation and monitoring,dev_run_0,2585.0
219,0.4853,0.6402,NORMAL,0,Continue operation and monitoring,dev_run_0,2584.0
220,0.5487,0.6219,NORMAL,0,Continue operation and monitoring,dev_run_0,2583.0
221,0.7283,0.6432,NORMAL,0,Continue operation and monitoring,dev_run_0,2582.0
222,0.5401,0.6226,NORMAL,0,Continue operation and monitoring,dev_run_0,2581.0
223,0.6894,0.636,NORMAL,0,Continue operation and monitoring,dev_run_0,2580.0
224,0.8462,0.678,NORMAL,0,Continue operation and monitoring,dev_run_0,2579.0
225,0.7532,0.693,NORMAL,0,Continue operation and monitoring,dev_run_0,2578.0
226,0.6989,0.6942,NORMAL,0,Continue operation and monitoring,dev_run_0,2577.0
227,0.5263,0.6606,NORMAL,0,Continue operation and monitoring,dev_run_0,2576.0
228,0.6503,0.6586,NORMAL,0,Continue operation and monitoring,dev_run_0,2575.0
229,0.5686,0.6406,NORMAL,0,Continue operation and monitoring,dev_run_0,2574.0
230,0.6214,0.6367,NORMAL,0,Continue operation and monitoring,dev_run_0,2573.0
231,0.7072,0.6508,NORMAL,0,Continue operation and monitoring,dev_run_0,2572.0
232,0.6088,0.6424,NORMAL,0,Continue operation and monitoring,dev_run_0,2571.0
233,0.8612,0.6862,NORMAL,0,Continue operation and monitoring,dev_run_0,2570.0
234,0.9542,0.7398,NORMAL,0,Continue operation and monitoring,dev_run_0,2569.0
235,0.8002,0.7519,NORMAL,0,Continue operation and monitoring,dev_run_0,2568.0
236,0.3887,0.6792,NORMAL,0,Continue operation and monitoring,dev_run_0,2567.0
237,0.7386,0.6911,NORMAL,0,Continue operation and monitoring,dev_run_0,2566.0
238,0.6003,0.673,NORMAL,0,Continue operation and monitoring,dev_run_0,2565.0
239,0.7206,0.6825,NORMAL,0,Continue operation and monitoring,dev_run_0,2564.0
240,0.9114,0.7283,NORMAL,0,Continue operation and monitoring,dev_run_0,2563.0
241,0.8854,0.7597,NORMAL,0,Continue operation and monitoring,dev_run_0,2562.0
242,0.6439,0.7365,NORMAL,0,Continue operation and monitoring,dev_run_0,2561.0
243,0.5678,0.7028,NORMAL,0,Continue operation and monitoring,dev_run_0,2560.0
244,1.1864,0.7995,NORMAL,0,Continue operation and monitoring,dev_run_0,2559.0
245,0.719,0.7834,NORMAL,0,Continue operation and monitoring,dev_run_0,2558.0
246,0.5152,0.7298,NORMAL,0,Continue operation and monitoring,dev_run_0,2557.0
247,0.6803,0.7199,NORMAL,0,Continue operation and monitoring,dev_run_0,2556.0
248,0.8761,0.7511,NORMAL,0,Continue operation and monitoring,dev_run_0,2555.0
249,0.8588,0.7727,NORMAL,0,Continue operation and monitoring,dev_run_0,2554.0
250,0.6892,0.756,NORMAL,0,Continue operation and monitoring,dev_run_0,2553.0
251,0.588,0.7224,NORMAL,0,Continue operation and monitoring,dev_run_0,2552.0
252,0.8286,0.7436,NORMAL,0,Continue operation and monitoring,dev_run_0,2551.0
253,0.5331,0.7015,NORMAL,0,Continue operation and monitoring,dev_run_0,2550.0
254,0.9205,0.7453,NORMAL,0,Continue operation and monitoring,dev_run_0,2549.0
255,0.4752,0.6913,NORMAL,0,Continue operation and monitoring,dev_run_0,2548.0
256,1.1687,0.7868,NORMAL,0,Continue operation and monitoring,dev_run_0,2547.0
257,0.7097,0.7713,NORMAL,0,Continue operation and monitoring,dev_run_0,2546.0
258,0.5904,0.7352,NORMAL,0,Continue operation and monitoring,dev_run_0,2545.0
259,0.5788,0.7039,NORMAL,0,Continue operation and monitoring,dev_run_0,2544.0
260,0.483,0.6597,NORMAL,0,Continue operation and monitoring,dev_run_0,2543.0
261,0.7404,0.6758,NORMAL,0,Continue operation and monitoring,dev_run_0,2542.0
262,0.7282,0.6863,NORMAL,0,Continue operation and monitoring,dev_run_0,2541.0
263,0.6381,0.6767,NORMAL,0,Continue operation and monitoring,dev_run_0,2540.0
264,1.0544,0.7522,NORMAL,0,Continue operation and monitoring,dev_run_0,2539.0
265,0.5681,0.7154,NORMAL,0,Continue operation and monitoring,dev_run_0,2538.0
266,0.8519,0.7427,NORMAL,0,Continue operation and monitoring,dev_run_0,2537.0
267,0.7092,0.736,NORMAL,0,Continue operation and monitoring,dev_run_0,2536.0
268,0.5136,0.6915,NORMAL,0,Continue operation and monitoring,dev_run_0,2535.0
269,0.6744,0.6881,NORMAL,0,Continue operation and monitoring,dev_run_0,2534.0
270,0.5421,0.6589,NORMAL,0,Continue operation and monitoring,dev_run_0,2533.0
271,0.5737,0.6419,NORMAL,0,Continue operation and monitoring,dev_run_0,2532.0
272,0.77,0.6675,NORMAL,0,Continue operation and monitoring,dev_run_0,2531.0
273,1.0915,0.7523,NORMAL,0,Continue operation and monitoring,dev_run_0,2530.0
274,0.7175,0.7453,NORMAL,0,Continue operation and monitoring,dev_run_0,2529.0
275,2.305,1.0573,NORMAL,0,Continue operation and monitoring,dev_run_0,2528.0
276,0.5627,0.9584,NORMAL,0,Continue operation and monitoring,dev_run_0,2527.0
277,0.9617,0.959,NORMAL,0,Continue operation and monitoring,dev_run_0,2526.0
278,0.5222,0.8717,NORMAL,0,Continue operation and monitoring,dev_run_0,2525.0
279,0.5598,0.8093,NORMAL,0,Continue operation and monitoring,dev_run_0,2524.0
280,0.6726,0.782,NORMAL,0,Continue operation and monitoring,dev_run_0,2523.0
281,0.7221,0.77,NORMAL,0,Continue operation and monitoring,dev_run_0,2522.0
282,0.8486,0.7857,NORMAL,0,Continue operation and monitoring,dev_run_0,2521.0
283,0.6621,0.761,NORMAL,0,Continue operation and monitoring,dev_run_0,2520.0
284,0.6297,0.7347,NORMAL,0,Continue operation and monitoring,dev_run_0,2519.0
285,0.7378,0.7353,NORMAL,0,Continue operation and monitoring,dev_run_0,2518.0
286,0.6384,0.7159,NORMAL,0,Continue operation and monitoring,dev_run_0,2517.0
287,0.7973,0.7322,NORMAL,0,Continue operation and monitoring,dev_run_0,2516.0
288,0.8478,0.7553,NORMAL,0,Continue operation and monitoring,dev_run_0,2515.0
289,0.7282,0.7499,NORMAL,0,Continue operation and monitoring,dev_run_0,2514.0
290,0.8534,0.7706,NORMAL,0,Continue operation and monitoring,dev_run_0,2513.0
291,0.9999,0.8165,NORMAL,0,Continue operation and monitoring,dev_run_0,2512.0
292,0.8789,0.829,NORMAL,0,Continue operation and monitoring,dev_run_0,2511.0
293,0.7694,0.8171,NORMAL,0,Continue operation and monitoring,dev_run_0,2510.0
294,0.7391,0.8015,NORMAL,0,Continue operation and monitoring,dev_run_0,2509.0
295,0.624,0.766,NORMAL,0,Continue operation and monitoring,dev_run_0,2508.0
296,0.6374,0.7403,NORMAL,0,Continue operation and monitoring,dev_run_0,2507.0
297,0.5921,0.7106,NORMAL,0,Continue operation and monitoring,dev_run_0,2506.0
298,0.7251,0.7135,NORMAL,0,Continue operation and monitoring,dev_run_0,2505.0
299,0.6734,0.7055,NORMAL,0,Continue operation and monitoring,dev_run_0,2504.0
300,0.5115,0.6667,NORMAL,0,Continue operation and monitoring,dev_run_0,2503.0
301,0.6797,0.6693,NORMAL,0,Continue operation and monitoring,dev_run_0,2502.0
302,0.3689,0.6092,NORMAL,0,Continue operation and monitoring,dev_run_0,2501.0
303,0.862,0.6598,NORMAL,0,Continue operation and monitoring,dev_run_0,2500.0
304,0.6699,0.6618,NORMAL,0,Continue operation and monitoring,dev_run_0,2499.0
305,0.8187,0.6932,NORMAL,0,Continue operation and monitoring,dev_run_0,2498.0
306,0.7636,0.7073,NORMAL,0,Continue operation and monitoring,dev_run_0,2497.0
307,0.566,0.679,NORMAL,0,Continue operation and monitoring,dev_run_0,2496.0
308,0.5391,0.651,NORMAL,0,Continue operation and monitoring,dev_run_0,2495.0
309,1.0813,0.7371,NORMAL,0,Continue operation and monitoring,dev_run_0,2494.0
310,0.9771,0.7851,NORMAL,0,Continue operation and monitoring,dev_run_0,2493.0
311,0.6465,0.7574,NORMAL,0,Continue operation and monitoring,dev_run_0,2492.0
312,1.2406,0.854,NORMAL,0,Continue operation and monitoring,dev_run_0,2491.0
313,0.7492,0.833,NORMAL,0,Continue operation and monitoring,dev_run_0,2490.0
314,0.5485,0.7761,NORMAL,0,Continue operation and monitoring,dev_run_0,2489.0
315,1.0806,0.837,NORMAL,0,Continue operation and monitoring,dev_run_0,2488.0
316,1.0193,0.8735,NORMAL,0,Continue operation and monitoring,dev_run_0,2487.0
317,0.4522,0.7892,NORMAL,0,Continue operation and monitoring,dev_run_0,2486.0
318,0.5745,0.7463,NORMAL,0,Continue operation and monitoring,dev_run_0,2485.0
319,0.6656,0.7301,NORMAL,0,Continue operation and monitoring,dev_run_0,2484.0
320,0.5381,0.6917,NORMAL,0,Continue operation and monitoring,dev_run_0,2483.0
321,0.4252,0.6384,NORMAL,0,Continue operation and monitoring,dev_run_0,2482.0
322,0.463,0.6033,NORMAL,0,Continue operation and monitoring,dev_run_0,2481.0
323,0.9094,0.6645,NORMAL,0,Continue operation and monitoring,dev_run_0,2480.0
324,0.558,0.6432,NORMAL,0,Continue operation and monitoring,dev_run_0,2479.0
